,Order ID,Product ID,Location ID,Customer ID,Purchase Date,Quantity,Price,Total Amount,Product Name,Cost,City,County,State,Total Cost,Customer Segment
0,AX10001,ENX2071,A152,C1499,2018-11-23,1,136,136,Product 72,72,San Bernardino,San Bernardino County,California,72,Promising
1,AX10002,ENX2053,A139,C1359,2018-11-13,1,596,596,Product 54,358,Ontario,San Bernardino County,California,358,Hibernating
2,AX10005,ENX2030,A121,C1220,2018-05-21,1,1899,1899,Product 31,1044,Fresno,Fresno County,California,1044,Promising
3,AX10007,ENX2001,A122,C1368,2018-12-19,4,951,3804,Product 2,504,Fullerton,Orange County,California,2016,Need Attention
4,AX10009,ENX2082,A101,C1764,2018-07-03,1,1103,1103,Product 83,838,Antioch,Contra Costa County,California,838,Potential Loyalist
5,AX10011,ENX2004,A156,C1348,2018-12-26,3,1278,3834,Product 5,665,San Jose,Santa Clara County,California,1995,New Customer
6,AX10017,ENX2088,A163,C1619,2018-06-13,1,603,603,Product 89,416,Simi Valley,Ventura County,California,416,Loyal Customer
7,AX10022,ENX2077,A171,C1723,2018-10-12,2,530,1060,Product 78,424,Visalia,Tulare County,California,848,Loyal Customer
8,AX10023,ENX2005,A164,C1713,2018-04-23,4,684,2736,Product 6,561,Stockton,San Joaquin County,California,2244,New Customer
9,AX10024,ENX2059,A104,C1673,2018-01-29,3,1494,4482,Product 60,971,Burbank,Los Angeles County,California,2913,Potential Loyalist
10,AX10025,ENX2047,A170,C1753,2018-11-18,1,290,290,Product 48,200,Victorville,San Bernardino County,California,200,Need Attention
11,AX10034,ENX2099,A103,C1299,2018-07-31,1,1367,1367,Product 100,984,Berkeley,Alameda County,California,984,Potential Loyalist
12,AX10038,ENX2098,A143,C1674,2018-11-11,1,1178,1178,Product 99,683,Pasadena,Los Angeles County,California,683,Potential Loyalist
13,AX10040,ENX2053,A122,C1301,2018-10-23,4,596,2384,Product 54,358,Fullerton,Orange County,California,1432,Promising
14,AX10043,ENX2068,A119,C1641,2018-10-08,4,1500,6000,Product 69,900,Fontana,San Bernardino County,California,3600,Promising
15,AX10044,ENX2001,A120,C1604,2018-12-04,2,951,1902,Product 2,504,Fremont,Alameda County,California,1008,New Customer
16,AX10045,ENX2058,A161,C1419,2018-01-19,2,2257,4514,Product 59,1535,Santa Maria,Santa Barbara County,California,3070,Champion
17,AX10046,ENX2010,A161,C1207,2018-10-29,4,1812,7248,Product 11,1305,Santa Maria,Santa Barbara County,California,5220,Promising
18,AX10050,ENX2004,A172,C1012,2018-03-25,1,1278,1278,Product 5,665,Vista,San Diego County,California,665,Potential Loyalist
19,AX10053,ENX2030,A116,C1364,2018-04-11,3,1899,5697,Product 31,1044,El Monte,Los Angeles County,California,3132,Champion
20,AX10054,ENX2095,A151,C1105,2018-01-20,1,1743,1743,Product 96,872,Salinas,Monterey County,California,872,Potential Loyalist
21,AX10055,ENX2098,A172,C1791,2018-11-26,3,1178,3534,Product 99,683,Vista,San Diego County,California,2049,Potential Loyalist
22,AX10060,ENX2065,A150,C1723,2018-12-27,1,2396,2396,Product 66,1965,Sacramento,Sacramento County,California,1965,Loyal Customer
23,AX10068,ENX2058,A107,C1767,2018-04-06,1,2257,2257,Product 59,1535,Clovis,Fresno County,California,1535,Potential Loyalist
24,AX10079,ENX2043,A172,C1217,2018-07-17,1,545,545,Product 44,425,Vista,San Diego County,California,425,Loyal Customer
25,AX10080,ENX2009,A129,C1550,2018-05-06,3,584,1752,Product 10,420,Jurupa Valley,Riverside County,California,1260,New Customer
26,AX10081,ENX2056,A120,C1749,2018-03-19,1,1635,1635,Product 57,1046,Fremont,Alameda County,California,1046,Promising
27,AX10083,ENX2092,A112,C1257,2018-03-15,3,1639,4917,Product 93,1295,Downey,Los Angeles County,California,3885,Potential Loyalist
28,AX10085,ENX2002,A130,C1043,2018-02-17,3,847,2541,Product 3,534,Lancaster,Los Angeles County,California,1602,Need Attention
29,AX10087,ENX2092,A152,C1357,2018-08-09,3,1639,4917,Product 93,1295,San Bernardino,San Bernardino County,California,3885,Loyal Customer
30,AX10090,ENX2050,A146,C1463,2018-08-02,3,2391,7173,Product 51,1291,Rialto,San Bernardino County,California,3873,Champion
31,AX10093,ENX2035,A113,C1758,2018-11-09,4,458,1832,Product 36,376,East Los Angeles,Los Angeles County,California,1504,Promising
32,AX10094,ENX2040,A143,C1780,2018-02-02,4,1889,7556,Product 41,945,Pasadena,Los Angeles County,California,3780,Potential Loyalist
33,AX10095,ENX2027,A105,C1007,2018-03-15,1,2497,2497,Product 28,1473,Carlsbad,San Diego County,California,1473,Promising
34,AX10101,ENX2036,A128,C1030,2018-08-20,1,1582,1582,Product 37,1234,Irvine,Orange County,California,1234,Potential Loyalist
35,AX10103,ENX2015,A121,C1614,2018-06-18,3,637,1911,Product 16,389,Fresno,Fresno County,California,1167,Potential Loyalist
36,AX10104,ENX2047,A168,C1446,2018-04-15,3,290,870,Product 48,200,Torrance,Los Angeles County,California,600,Need Attention
37,AX10105,ENX2025,A146,C1607,2018-11-01,2,667,1334,Product 26,387,Rialto,San Bernardino County,California,774,Potential Loyalist
38,AX10108,ENX2015,A131,C1660,2018-04-23,1,637,637,Product 16,389,Long Beach,Los Angeles County,California,389,Potential Loyalist
39,AX10113,ENX2010,A167,C1471,2018-12-22,3,1812,5436,Product 11,1305,Thousand Oaks,Ventura County,California,3915,Potential Loyalist
40,AX10117,ENX2060,A140,C1436,2018-05-25,3,1467,4401,Product 61,807,Orange,Orange County,California,2421,Potential Loyalist
41,AX10120,ENX2021,A131,C1756,2018-10-16,1,217,217,Product 22,171,Long Beach,Los Angeles County,California,171,Promising
42,AX10125,ENX2000,A137,C1541,2018-10-22,2,2241,4482,Product 1,1367,Oakland,Alameda County,California,2734,Potential Loyalist
43,AX10128,ENX2054,A126,C1347,2018-08-10,1,127,127,Product 55,79,Huntington Beach,Orange County,California,79,Promising
44,AX10129,ENX2083,A129,C1013,2018-05-11,1,2141,2141,Product 84,1777,Jurupa Valley,Riverside County,California,1777,New Customer
45,AX10131,ENX2019,A119,C1704,2018-08-02,1,800,800,Product 20,536,Fontana,San Bernardino County,California,536,Champion
46,AX10139,ENX2009,A104,C1221,2018-08-30,2,584,1168,Product 10,420,Burbank,Los Angeles County,California,840,Potential Loyalist
47,AX10142,ENX2046,A128,C1794,2018-08-01,4,2410,9640,Product 47,1518,Irvine,Orange County,California,6072,Potential Loyalist
48,AX10143,ENX2049,A127,C1258,2018-01-22,1,826,826,Product 50,562,Inglewood,Los Angeles County,California,562,New Customer
49,AX10146,ENX2009,A135,C1633,2018-11-03,1,584,584,Product 10,420,Murrieta,Riverside County,California,420,Potential Loyalist
50,AX10149,ENX2093,A119,C1666,2018-01-22,3,112,336,Product 94,90,Fontana,San Bernardino County,California,270,Potential Loyalist
51,AX10154,ENX2075,A140,C1407,2018-02-25,1,400,400,Product 76,208,Orange,Orange County,California,208,Potential Loyalist
52,AX10160,ENX2032,A128,C1293,2018-04-26,2,1967,3934,Product 33,1397,Irvine,Orange County,California,2794,Promising
53,AX10161,ENX2079,A107,C1266,2018-06-09,4,1725,6900,Product 80,1363,Clovis,Fresno County,California,5452,Potential Loyalist
54,AX10164,ENX2048,A134,C1285,2018-06-04,1,502,502,Product 49,296,Moreno Valley,Riverside County,California,296,Potential Loyalist
55,AX10165,ENX2025,A155,C1071,2018-11-09,1,667,667,Product 26,387,San Francisco,San Francisco County,California,387,Promising
56,AX10168,ENX2048,A161,C1469,2018-01-21,4,502,2008,Product 49,296,Santa Maria,Santa Barbara County,California,1184,Potential Loyalist
57,AX10174,ENX2033,A105,C1199,2018-11-24,4,2182,8728,Product 34,1200,Carlsbad,San Diego County,California,4800,Potential Loyalist
58,AX10175,ENX2054,A107,C1415,2018-03-29,3,127,381,Product 55,79,Clovis,Fresno County,California,237,Promising
59,AX10178,ENX2041,A100,C1690,2018-01-20,1,1380,1380,Product 42,1090,Anaheim,Orange County,California,1090,Potential Loyalist
60,AX10179,ENX2097,A139,C1650,2018-10-12,4,1052,4208,Product 98,589,Ontario,San Bernardino County,California,2356,Champion
61,AX10181,ENX2093,A140,C1658,2018-01-14,3,112,336,Product 94,90,Orange,Orange County,California,270,Potential Loyalist
62,AX10185,ENX2048,A150,C1329,2018-02-19,2,502,1004,Product 49,296,Sacramento,Sacramento County,California,592,Promising
63,AX10189,ENX2002,A111,C1590,2018-09-02,1,847,847,Product 3,534,Daly City,San Mateo County,California,534,Promising
64,AX10190,ENX2034,A152,C1206,2018-04-06,2,871,1742,Product 35,540,San Bernardino,San Bernardino County,California,1080,Potential Loyalist
65,AX10192,ENX2093,A168,C1251,2018-11-04,1,112,112,Product 94,90,Torrance,Los Angeles County,California,90,Loyal Customer
66,AX10193,ENX2054,A139,C1679,2018-03-18,2,127,254,Product 55,79,Ontario,San Bernardino County,California,158,Promising
67,AX10194,ENX2041,A106,C1417,2018-03-24,1,1380,1380,Product 42,1090,Chula Vista,San Diego County,California,1090,Hibernating
68,AX10196,ENX2083,A129,C1141,2018-07-04,1,2141,2141,Product 84,1777,Jurupa Valley,Riverside County,California,1777,Champion
69,AX10202,ENX2041,A107,C1663,2018-08-15,1,1380,1380,Product 42,1090,Clovis,Fresno County,California,1090,Promising
70,AX10203,ENX2070,A143,C1112,2018-08-10,1,1671,1671,Product 71,1220,Pasadena,Los Angeles County,California,1220,Need Attention
71,AX10205,ENX2042,A168,C1306,2018-02-06,4,203,812,Product 43,154,Torrance,Los Angeles County,California,616,Potential Loyalist
72,AX10206,ENX2054,A107,C1387,2018-12-11,1,127,127,Product 55,79,Clovis,Fresno County,California,79,Potential Loyalist
73,AX10210,ENX2051,A164,C1781,2018-05-20,4,1077,4308,Product 52,732,Stockton,San Joaquin County,California,2928,Hibernating
74,AX10213,ENX2049,A120,C1338,2018-05-07,2,826,1652,Product 50,562,Fremont,Alameda County,California,1124,Potential Loyalist
75,AX10215,ENX2089,A118,C1018,2018-01-15,2,2294,4588,Product 90,1399,Fairfield,Solano County,California,2798,Promising
76,AX10216,ENX2037,A106,C1077,2018-11-21,4,880,3520,Product 38,634,Chula Vista,San Diego County,California,2536,Need Attention
77,AX10221,ENX2022,A121,C1705,2018-06-30,1,561,561,Product 23,421,Fresno,Fresno County,California,421,Promising
78,AX10222,ENX2059,A117,C1168,2018-05-29,1,1494,1494,Product 60,971,Escondido,San Diego County,California,971,Potential Loyalist
79,AX10223,ENX2036,A135,C1148,2018-12-06,1,1582,1582,Product 37,1234,Murrieta,Riverside County,California,1234,Potential Loyalist
80,AX10226,ENX2019,A125,C1259,2018-04-02,1,800,800,Product 20,536,Hayward,Alameda County,California,536,Promising
81,AX10231,ENX2016,A163,C1465,2018-07-22,3,1351,4053,Product 17,1108,Simi Valley,Ventura County,California,3324,Potential Loyalist
82,AX10233,ENX2020,A155,C1387,2018-01-17,3,2005,6015,Product 21,1223,San Francisco,San Francisco County,California,3669,Potential Loyalist
83,AX10235,ENX2006,A124,C1083,2018-10-25,3,1826,5478,Product 7,1443,Glendale,Los Angeles County,California,4329,Promising
84,AX10238,ENX2038,A105,C1780,2018-06-21,1,392,392,Product 39,255,Carlsbad,San Diego County,California,255,Potential Loyalist
85,AX10242,ENX2017,A171,C1731,2018-07-19,1,35,35,Product 18,22,Visalia,Tulare County,California,22,Potential Loyalist
86,AX10245,ENX2053,A145,C1431,2018-05-18,1,596,596,Product 54,358,Rancho Cucamonga,San Bernardino County,California,358,Promising
87,AX10246,ENX2056,A125,C1454,2018-02-23,1,1635,1635,Product 57,1046,Hayward,Alameda County,California,1046,Potential Loyalist
88,AX10247,ENX2021,A111,C1507,2018-09-25,3,217,651,Product 22,171,Daly City,San Mateo County,California,513,Potential Loyalist
89,AX10256,ENX2072,A125,C1310,2018-03-22,1,1887,1887,Product 73,1378,Hayward,Alameda County,California,1378,Champion
90,AX10264,ENX2042,A161,C1715,2018-03-18,2,203,406,Product 43,154,Santa Maria,Santa Barbara County,California,308,Promising
91,AX10266,ENX2027,A153,C1143,2018-04-28,1,2497,2497,Product 28,1473,San Buenaventura (Ventura),Ventura County,California,1473,Promising
92,AX10271,ENX2065,A151,C1534,2018-06-04,1,2396,2396,Product 66,1965,Salinas,Monterey County,California,1965,Promising
93,AX10274,ENX2018,A131,C1365,2018-09-28,1,1972,1972,Product 19,1321,Long Beach,Los Angeles County,California,1321,Potential Loyalist
94,AX10278,ENX2054,A160,C1620,2018-02-13,1,127,127,Product 55,79,Santa Clarita,Los Angeles County,California,79,Potential Loyalist
95,AX10279,ENX2049,A140,C1434,2018-06-09,1,826,826,Product 50,562,Orange,Orange County,California,562,Potential Loyalist
96,AX10280,ENX2098,A131,C1070,2018-10-28,2,1178,2356,Product 99,683,Long Beach,Los Angeles County,California,1366,Promising
97,AX10283,ENX2039,A137,C1175,2018-07-29,1,817,817,Product 40,409,Oakland,Alameda County,California,409,Promising
