Customer ID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Customer Segment
C1000,119,10,19198,5,2,2,522,Promising
C1001,55,13,19658,5,3,2,532,Potential Loyalist
C1002,168,15,32994,4,3,3,433,Potential Loyalist
C1003,37,21,51573,5,5,4,554,Champion
C1004,36,13,28885,5,3,2,532,Potential Loyalist
C1005,93,13,29623,5,3,2,532,Potential Loyalist
C1006,249,10,18031,3,2,1,321,About to Sleep
C1007,65,9,22232,5,2,2,522,Promising
C1008,42,7,14836,5,1,1,511,New Customer
C1009,75,16,37026,5,3,3,533,Potential Loyalist
C1010,58,16,39249,5,3,3,533,Potential Loyalist
C1011,92,11,24721,5,2,2,522,Promising
C1012,57,16,28884,5,3,2,532,Potential Loyalist
C1013,187,8,24745,4,1,2,412,New Customer
C1014,268,12,33894,3,2,3,323,Potential Loyalist
C1015,62,14,33454,5,3,3,533,Potential Loyalist
C1016,47,17,23156,5,4,2,542,Potential Loyalist
C1017,44,10,32840,5,2,3,523,Promising
C1018,116,11,19047,5,2,2,522,Promising
C1019,107,11,32838,5,2,3,523,Promising
C1020,47,14,26145,5,3,2,532,Potential Loyalist
C1021,55,14,27993,5,3,2,532,Potential Loyalist
C1022,48,18,59071,5,4,5,545,Champion
C1023,159,12,17267,4,2,1,421,New Customer
C1024,64,17,50363,5,4,4,544,Champion
C1025,32,13,25078,5,3,2,532,Potential Loyalist
C1026,59,12,20745,5,2,2,522,Promising
C1027,35,15,32703,5,3,3,533,Potential Loyalist
C1028,56,15,36307,5,3,3,533,Potential Loyalist
C1029,32,8,10315,5,1,1,511,New Customer
C1030,255,11,34179,3,2,3,323,Potential Loyalist
C1031,65,7,15268,5,1,1,511,New Customer
C1032,48,13,25189,5,3,2,532,Potential Loyalist
C1033,61,13,26409,5,3,2,532,Potential Loyalist
C1034,59,13,34357,5,3,3,533,Potential Loyalist
C1035,221,10,26941,4,2,2,422,New Customer
C1036,49,9,17550,5,2,1,521,Promising
C1037,77,7,9567,5,1,1,511,New Customer
C1038,321,9,34908,2,2,3,223,Hibernating
